id,City,Country,Region,Population,Area,Density,Density Level,Latitude,Longitude,Pc Away from Target,Price Momentum LT Rank
36,6823.HK,12.02,Financials,55,57,1.349072513,Between 0 and 10% Return,36.6002582,-121.8935781,6,91
37,0005.HK,64.25,Financials,31,60,0.048263785,Between 0 and 10% Return,13.74999921,100.5166447,9,4
38,600276.SS,69.66,Health Care,48,61,14.53469254,Return Greater than 10%,34.75003522,135.4601448,7,68
39,2318.HK,80.9,Materials,55,63,5.890052356,Between 0 and 10% Return,20.67001609,-103.3300342,20,89
40,1928.HK,37.8,Materials,78,64,-1.305483029,Negative Return,37.98332623,23.73332108,13,14
41,SGXL.SI,7.76,Health Care,48,67,1.97109067,Between 0 and 10% Return,39.92723859,32.86439164,2,96
44,AEMN.SI,2.8,Industrials,31,69,1.818181818,Between 0 and 10% Return,32.0853,34.781768,0,64
45,ASRT.SI,1.15,Discretionary,34,70,-0.862068966,Negative Return,43.07497927,141.3400443,4,60
46,3988.HK,3.61,Energy,41,70,0.557103064,Between 0 and 10% Return,-34.60250161,-58.39753137,19,10
47,CACT.SI,1.94,Health Care,16,71,2.105263158,Between 0 and 10% Return,55.75216412,37.61552283,0,66
48,2778.HK,6.44,Staples,27,76,7.872696817,Between 0 and 10% Return,41.38329958,2.183370319,1,69
49,0836.HK,14.64,Industrials,91,78,-6.632653061,Negative Return,-30.05001463,-51.20001205,22,62
50,0270.HK,14.72,Health Care,71,80,-0.405953992,Negative Return,35.68501691,139.7514074,4,89
51,0902.HK,4.8,Energy,40,82,-1.437371663,Negative Return,-19.91502602,-43.91500452,22,10
52,0823.HK,87.55,Technology,52,84,0.805987334,Between 0 and 10% Return,-3.750017884,-38.57998132,0,85
53,MACT.SI,1.8,Financials,44,84,-1.098901099,Negative Return,52.25000063,20.99999955,0,85
54,MAPI.SI,2.04,Financials,15,87,1.857903378,Between 0 and 10% Return,41.31170188,69.29493282,0,58
55,MAPE.SI,1.3,Staples,20,87,3.174603175,Between 0 and 10% Return,40.84002525,14.24501135,2,67
56,0006.HK,54,Staples,49,89,2.955195424,Between 0 and 10% Return,50.26038047,19.02001705,13,22
57,STEG.SI,3.69,Financials,70,89,-1.6,Negative Return,53.50041526,-2.247987103,7,90
58,STHL.SI,0.7,Discretionary,40,91,-1.408450704,Negative Return,33.59501528,130.4100138,7,64
59,1997.HK,58.15,Staples,23,95,7.985143918,Between 0 and 10% Return,-33.92001097,18.43498816,3,48
